line,trip,hour,num_val,output_escalator_count,output_doors_count,output_turnstile_count,input_turnstile_total_bandwidth,input_turnstile_count,input_doors_count,entry_id,year,month,day,cluster
МЦК,Шоссе энтуз.МЦК - Шоссе энтуз.МЦК,12.0,487.0,,,,,,,,2023,8,1,0
ЛЮБЛИНСКАЯ,Дубровка - Дубровка,22.0,802.0,0.0,5.0,8.0,10.0,10.0,5.0,5.0,2023,4,21,1
МЦК,Хорошёво МЦК - Хорошёво МЦК,20.0,368.0,,,,,,,,2023,2,21,0
НЕКРАСОВСКАЯ,Некрасовка - Некрасовка,1.0,2.0,,,,,,,,2023,5,10,2
АРБАТСК-ПОКРОВСК,Мякинино - Мякинино,21.0,569.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2023,7,24,0
АРБАТСК-ПОКРОВСК,Измайловская - Измайловская,1.0,3.0,0.0,3.0,5.0,5.0,5.0,3.0,4.0,2023,3,24,2
АРБАТСК-ПОКРОВСК,Мякинино - Мякинино,6.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2023,1,14,2
АРБАТСК-ПОКРОВСК,Смоленская АПЛ - Смоленская АПЛ,13.0,651.0,0.0,3.0,0.0,8.0,8.0,3.0,5.0,2023,2,23,0
СОКОЛЬНИЧЕСКАЯ,Прокшино - Прокшино,9.0,725.0,,,,,,,,2023,5,24,0
ЛЮБЛИНСКАЯ,Братиславская - Братиславская,6.0,360.0,0.0,4.0,6.0,8.0,8.0,4.0,12.0,2023,2,12,1
СОЛНЦЕВСКАЯ ЛИН.,Новопеределкино - Новопеределкино,23.0,37.0,,,,,,,,2023,2,20,0
ЛЮБЛИНСКАЯ,Бутырская - Бутырская,17.0,1095.0,,,,,,,,2023,1,24,0
СЕРПУХОВ-ТИМИРЯЗ,Тульская - Тульская,22.0,925.0,0.0,4.0,5.0,8.0,8.0,4.0,2.0,2023,3,24,0
