line,trip,hour,num_val,output_escalator_count,output_doors_count,output_turnstile_count,input_turnstile_total_bandwidth,input_turnstile_count,input_doors_count,entry_id,year,month,day,cluster
ЛЮБЛИНСКАЯ,Дубровка - Дубровка,2.0,2.0,0.0,5.0,8.0,10.0,10.0,5.0,5.0,2023,5,27,2
ТАГАНСК-КРАСНОПР,Волгоградский пр - Волгоградский пр,14.0,432.0,0.0,4.0,0.0,6.0,6.0,4.0,4.0,2023,7,27,0
ФИЛЁВСКАЯ,Филёвский парк - Филёвский парк,12.0,142.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,2023,5,30,2
БКЛ,Терехово - Терехово,23.0,17.0,,,,,,,,2023,8,7,0
АРБАТСК-ПОКРОВСК,Молодёжная - Молодёжная,12.0,794.0,0.0,4.0,5.0,7.0,7.0,4.0,3.0,2023,2,9,0
ТАГАНСК-КРАСНОПР,Улица 1905 года - Улица 1905 года,16.0,705.0,0.0,4.0,0.0,8.0,8.0,4.0,13.0,2023,8,15,1
АРБАТСК-ПОКРОВСК,Крылатское - Крылатское,22.0,231.0,0.0,4.0,5.0,8.0,8.0,4.0,4.0,2023,1,29,0
БУТОВСКАЯ ЛИНИЯ,Б-р Адм. Ушакова - Б-р Адм. Ушакова,0.0,31.0,0.0,4.0,8.0,4.0,4.0,4.0,5.0,2023,6,3,2
БКЛ,Каховская - Каховская,22.0,235.0,0.0,4.0,5.0,8.0,8.0,4.0,2.0,2023,2,19,0
АРБАТСК-ПОКРОВСК,Пл. Революции - Пл. Революции,9.0,92.0,0.0,6.0,8.0,13.0,13.0,4.0,3.0,2023,6,3,1
ТАГАНСК-КРАСНОПР,Октябрьское поле - Октябрьское поле,21.0,627.0,0.0,4.0,0.0,8.0,8.0,4.0,12.0,2023,4,12,1
СОЛНЦЕВСКАЯ ЛИН.,Озёрная - Озёрная,23.0,15.0,,,,,,,,2023,1,1,0
КАЛУЖСКО-РИЖСКАЯ,Калужская - Калужская,15.0,545.0,0.0,4.0,0.0,6.0,6.0,4.0,1.0,2023,7,23,0
ЛЮБЛИНСКАЯ,Люблино - Люблино,22.0,198.0,0.0,4.0,5.0,8.0,8.0,4.0,13.0,2023,1,6,1
ФИЛЁВСКАЯ,Пионерская - Пионерская,1.0,7.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,2023,6,15,2
СОКОЛЬНИЧЕСКАЯ,Юго-западная - Юго-западная,6.0,510.0,0.0,4.0,0.0,10.0,10.0,4.0,2.0,2023,8,7,2
АРБАТСК-ПОКРОВСК,Партизанская - Партизанская,7.0,1492.0,0.0,3.0,5.0,7.0,7.0,3.0,5.0,2023,1,23,0
НЕКРАСОВСКАЯ,Лухмановская - Лухмановская,21.0,204.0,,,,,,,,2023,4,17,0
СОКОЛЬНИЧЕСКАЯ,Чистые пруды - Чистые пруды,13.0,791.0,0.0,4.0,4.0,8.0,8.0,4.0,5.0,2023,2,21,0
СЕРПУХОВ-ТИМИРЯЗ,Алтуфьево - Алтуфьево,12.0,812.0,0.0,4.0,4.0,7.0,7.0,4.0,1.0,2023,5,2,0
СОКОЛЬНИЧЕСКАЯ,Чистые пруды - Чистые пруды,6.0,134.0,0.0,4.0,4.0,8.0,8.0,4.0,5.0,2023,4,23,2
ММТС,Ул. Милашенкова - Ул. Милашенкова,17.0,42.0,,,,,,,,2023,1,1,0
АРБАТСК-ПОКРОВСК,Митино - Митино,14.0,212.0,0.0,4.0,6.0,9.0,9.0,4.0,0.0,2023,3,6,0
СЕРПУХОВ-ТИМИРЯЗ,Севастопольская - Севастопольская,19.0,3.0,0.0,4.0,5.0,8.0,8.0,4.0,5.0,2023,3,3,0
СЕРПУХОВ-ТИМИРЯЗ,Владыкино - Владыкино,5.0,117.0,0.0,4.0,8.0,11.0,11.0,4.0,2.0,2023,4,11,2
ЗАМОСКВОРЕЦКАЯ,Аэропорт - Аэропорт,23.0,90.0,0.0,3.0,0.0,7.0,7.0,3.0,2.0,2023,2,8,0
ЗАМОСКВОРЕЦКАЯ,Технопарк - Технопарк,5.0,38.0,,,,,,,,2023,6,19,2
ЗАМОСКВОРЕЦКАЯ,Автозаводская - Автозаводская,21.0,1355.0,0.0,4.0,5.0,8.0,8.0,4.0,2.0,2023,1,2,0
ЛЮБЛИНСКАЯ,Шипиловская - Шипиловская,8.0,891.0,0.0,4.0,5.0,7.0,7.0,4.0,12.0,2023,6,29,1
ЛЮБЛИНСКАЯ,Фонвизинская - Фонвизинская,12.0,196.0,,,,,,,,2023,5,2,2
ЛЮБЛИНСКАЯ,Зябликово - Зябликово,20.0,151.0,0.0,4.0,7.0,9.0,9.0,4.0,13.0,2023,8,3,1
МЦК,Б-р Рокоссов.МЦК - Б-р Рокоссов.МЦК,11.0,633.0,,,,,,,,2023,2,22,0
СЕРПУХОВ-ТИМИРЯЗ,Нагатинская - Нагатинская,8.0,1495.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,7,5,0
КАЛУЖСКО-РИЖСКАЯ,Ботанический сад - Ботанический сад,17.0,1022.0,0.0,4.0,0.0,8.0,8.0,4.0,2.0,2023,3,27,0
БКЛ,Аминьевская - Аминьевская,16.0,129.0,,,,,,,,2023,6,11,0
ТАГАНСК-КРАСНОПР,Рязанский пр-т - Рязанский пр-т,19.0,628.0,0.0,3.0,4.0,7.0,7.0,3.0,4.0,2023,7,1,0
СОКОЛЬНИЧЕСКАЯ,Коммунарка - Коммунарка,13.0,665.0,,,,,,,,2023,7,17,0
ЛЮБЛИНСКАЯ,Шипиловская - Шипиловская,12.0,242.0,0.0,4.0,5.0,7.0,7.0,4.0,12.0,2023,1,11,1
СЕРПУХОВ-ТИМИРЯЗ,Пражская - Пражская,13.0,1327.0,0.0,4.0,4.0,8.0,8.0,4.0,2.0,2023,7,29,0
БУТОВСКАЯ ЛИНИЯ,Ул. Скобелевская - Ул. Скобелевская,6.0,534.0,0.0,3.0,8.0,4.0,4.0,3.0,12.0,2023,4,26,2
ТАГАНСК-КРАСНОПР,Текстильщики - Текстильщики,20.0,775.0,,,,,,,,2023,4,1,0
КОЛЬЦЕВАЯ,Киевская К - Киевская К,22.0,1191.0,,,,,,,,2023,4,16,0
ЛЮБЛИНСКАЯ,Крест. застава - Крест. застава,16.0,621.0,0.0,5.0,8.0,6.0,6.0,5.0,5.0,2023,1,30,0
БКЛ,Воронцовская - Воронцовская,18.0,904.0,,,,,,,,2023,2,17,0
СОКОЛЬНИЧЕСКАЯ,Охотный ряд - Охотный ряд,3.0,4.0,0.0,6.0,0.0,11.0,11.0,6.0,2.0,2023,5,15,1
ЛЮБЛИНСКАЯ,Римская - Римская,0.0,76.0,0.0,2.0,8.0,6.0,6.0,4.0,5.0,2023,4,10,2
СЕРПУХОВ-ТИМИРЯЗ,Отрадное - Отрадное,1.0,7.0,0.0,4.0,8.0,9.0,9.0,4.0,2.0,2023,8,13,2
ЛЮБЛИНСКАЯ,Марьина Роща - Марьина Роща,17.0,651.0,,,,,,,,2023,4,1,0
СОКОЛЬНИЧЕСКАЯ,Воробьёвы горы - Воробьёвы горы,18.0,757.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,2023,1,18,0
НЕКРАСОВСКАЯ,Лухмановская - Лухмановская,2.0,3.0,,,,,,,,2023,3,16,2
КОЛЬЦЕВАЯ,Белорусская КЛ - Белорусская КЛ,0.0,198.0,0.0,5.0,8.0,10.0,10.0,5.0,4.0,2023,7,30,2
БКЛ,Каширская - Каширская,6.0,322.0,1.0,4.0,6.0,5.0,5.0,6.0,1.0,2023,6,18,2
АРБАТСК-ПОКРОВСК,Пл. Революции - Пл. Революции,22.0,519.0,0.0,6.0,8.0,13.0,13.0,4.0,3.0,2023,6,25,1
СЕРПУХОВ-ТИМИРЯЗ,Отрадное - Отрадное,10.0,1237.0,0.0,4.0,8.0,9.0,9.0,4.0,2.0,2023,8,10,0
БКЛ,Шелепиха - Шелепиха,19.0,244.0,,,,,,,,2023,7,16,0
ЛЮБЛИНСКАЯ,Селигерская - Селигерская,12.0,1132.0,,,,,,,,2023,6,21,0
ЛЮБЛИНСКАЯ,Окружная - Окружная,10.0,126.0,,,,,,,,2023,7,14,2
БКЛ,Аминьевская - Аминьевская,22.0,59.0,,,,,,,,2023,5,4,0
КОЛЬЦЕВАЯ,Курская КЛ - Курская КЛ,22.0,281.0,0.0,2.0,2.0,9.0,9.0,2.0,10.0,2023,2,26,0
СЕРПУХОВ-ТИМИРЯЗ,Отрадное - Отрадное,0.0,62.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,5,27,2
БКЛ,Мнёвники - Мнёвники,7.0,21.0,,,,,,,,2023,1,2,2
КАЛУЖСКО-РИЖСКАЯ,Тёплый стан - Тёплый стан,12.0,959.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,1,4,0
АРБАТСК-ПОКРОВСК,Молодёжная - Молодёжная,6.0,1117.0,0.0,4.0,5.0,7.0,7.0,4.0,3.0,2023,3,15,0
ЗАМОСКВОРЕЦКАЯ,Аэропорт - Аэропорт,21.0,1083.0,0.0,3.0,0.0,7.0,7.0,3.0,2.0,2023,5,24,0
ТАГАНСК-КРАСНОПР,Пролетарская - Пролетарская,11.0,561.0,0.0,4.0,0.0,8.0,8.0,4.0,4.0,2023,7,17,0
ЛЮБЛИНСКАЯ,Люблино - Люблино,0.0,72.0,0.0,4.0,5.0,8.0,8.0,4.0,13.0,2023,1,15,2
СОЛНЦЕВСКАЯ ЛИН.,Боровское шоссе - Боровское шоссе,12.0,74.0,,,,,,,,2023,7,22,2
ТАГАНСК-КРАСНОПР,Выхино - Выхино,11.0,1041.0,0.0,0.0,0.0,15.0,15.0,4.0,4.0,2023,8,2,1
СЕРПУХОВ-ТИМИРЯЗ,Нахимовский пр-т - Нахимовский пр-т,12.0,438.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,2,6,0
СЕРПУХОВ-ТИМИРЯЗ,Дмитровская - Дмитровская,1.0,7.0,0.0,5.0,8.0,10.0,10.0,5.0,5.0,2023,5,20,2
ЛЮБЛИНСКАЯ,Люблино - Люблино,5.0,160.0,0.0,4.0,5.0,8.0,8.0,4.0,12.0,2023,8,13,1
КАЛУЖСКО-РИЖСКАЯ,Свиблово - Свиблово,0.0,54.0,0.0,4.0,0.0,8.0,8.0,4.0,1.0,2023,2,18,2
МЦК,Окружная МЦК - Окружная МЦК,17.0,751.0,,,,,,,,2023,4,8,0
БКЛ,Воронцовская - Воронцовская,17.0,768.0,,,,,,,,2023,3,15,0
МЦК,Нижегородск. МЦК - Нижегородск. МЦК,10.0,1014.0,,,,,,,,2023,6,24,0
СЕРПУХОВ-ТИМИРЯЗ,Бибирево - Бибирево,16.0,602.0,0.0,4.0,5.0,7.0,7.0,4.0,1.0,2023,6,30,0
СОЛНЦЕВСКАЯ ЛИН.,Озёрная - Озёрная,11.0,113.0,,,,,,,,2023,4,3,2
МЦК,Б-р Рокоссов.МЦК - Б-р Рокоссов.МЦК,7.0,874.0,,,,,,,,2023,7,3,0
СОКОЛЬНИЧЕСКАЯ,Фрунзенская - Фрунзенская,10.0,1132.0,0.0,3.0,4.0,8.0,8.0,3.0,5.0,2023,3,22,0
СЕРПУХОВ-ТИМИРЯЗ,Аннино - Аннино,15.0,131.0,0.0,4.0,6.0,7.0,7.0,4.0,5.0,2023,6,29,0
СЕРПУХОВ-ТИМИРЯЗ,Южная - Южная,23.0,98.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,7,15,0
РТ-1,Сити-Багратион - Сити-Багратион,13.0,4.0,,,,,,,,2023,7,9,2
АРБАТСК-ПОКРОВСК,Измайловская - Измайловская,8.0,1181.0,0.0,3.0,5.0,5.0,5.0,3.0,4.0,2023,5,18,0
АРБАТСК-ПОКРОВСК,Волоколамская - Волоколамская,13.0,448.0,0.0,0.0,5.0,12.0,12.0,4.0,0.0,2023,4,26,0
АРБАТСК-ПОКРОВСК,Киевская АПЛ - Киевская АПЛ,9.0,1499.0,0.0,3.0,6.0,7.0,7.0,4.0,6.0,2023,2,11,0
ММТС,Телецентр - Телецентр,19.0,42.0,,,,,,,,2023,5,7,0
ТАГАНСК-КРАСНОПР,Кузьминки - Кузьминки,5.0,1023.0,0.0,4.0,5.0,8.0,8.0,4.0,4.0,2023,6,2,0
КАЛУЖСКО-РИЖСКАЯ,Свиблово - Свиблово,10.0,529.0,0.0,4.0,0.0,8.0,8.0,4.0,2.0,2023,6,29,0
ЛЮБЛИНСКАЯ,Петровско-Разум. - Петровско-Разум.,20.0,566.0,,,,,,,,2023,7,10,0
ЗАМОСКВОРЕЦКАЯ,Водный Стадион - Водный Стадион,16.0,747.0,2.0,4.0,5.0,7.0,7.0,4.0,1.0,2023,2,18,0
МЦК,Лихоборы МЦК - Лихоборы МЦК,23.0,45.0,,,,,,,,2023,6,7,0
ФИЛЁВСКАЯ,Пионерская - Пионерская,1.0,3.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,2023,6,28,2
АРБАТСК-ПОКРОВСК,Пл. Революции - Пл. Революции,11.0,257.0,0.0,4.0,0.0,10.0,10.0,4.0,4.0,2023,8,19,1
АРБАТСК-ПОКРОВСК,Мякинино - Мякинино,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2023,2,5,2
ЗАМОСКВОРЕЦКАЯ,Войковская - Войковская,5.0,103.0,0.0,3.0,0.0,7.0,7.0,3.0,1.0,2023,5,1,2
ТАГАНСК-КРАСНОПР,Волгоградский пр - Волгоградский пр,14.0,404.0,0.0,4.0,0.0,6.0,6.0,4.0,4.0,2023,7,18,0
СОКОЛЬНИЧЕСКАЯ,Черкизовская - Черкизовская,20.0,628.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,5,27,0
АРБАТСК-ПОКРОВСК,Щёлковская - Щёлковская,21.0,243.0,0.0,12.0,5.0,14.0,14.0,12.0,1.0,2023,7,22,1
КОЛЬЦЕВАЯ,Курская К - Курская К,11.0,681.0,,,,,,,,2023,4,16,0
АРБАТСК-ПОКРОВСК,Щёлковская - Щёлковская,5.0,345.0,0.0,4.0,5.0,7.0,7.0,4.0,2.0,2023,5,30,2
КАЛУЖСКО-РИЖСКАЯ,Китай-город КРЛ - Китай-город КРЛ,1.0,29.0,0.0,5.0,0.0,8.0,8.0,5.0,1.0,2023,8,3,2
СОКОЛЬНИЧЕСКАЯ,Лубянка - Лубянка,6.0,46.0,0.0,3.0,10.0,13.0,13.0,3.0,2.0,2023,4,22,2
ТАГАНСК-КРАСНОПР,Тушинская - Тушинская,21.0,440.0,0.0,4.0,0.0,13.0,13.0,4.0,13.0,2023,3,17,1
ТАГАНСК-КРАСНОПР,Баррикадная - Баррикадная,16.0,1201.0,0.0,4.0,0.0,10.0,10.0,4.0,5.0,2023,8,5,1
КАЛУЖСКО-РИЖСКАЯ,Ленинский пр-т - Ленинский пр-т,10.0,228.0,0.0,3.0,0.0,5.0,5.0,3.0,1.0,2023,1,4,2
АРБАТСК-ПОКРОВСК,Волоколамская - Волоколамская,12.0,257.0,0.0,0.0,5.0,12.0,12.0,4.0,0.0,2023,2,14,2
КАЛУЖСКО-РИЖСКАЯ,Академическая - Академическая,13.0,917.0,0.0,3.0,4.0,5.0,5.0,3.0,1.0,2023,4,6,0
БКЛ,Электрозав-я БКЛ - Электрозав-я БКЛ,13.0,1350.0,,,,,,,,2023,4,3,0
ТАГАНСК-КРАСНОПР,Жулебино - Жулебино,14.0,477.0,,,,,,,,2023,2,12,0
СОЛНЦЕВСКАЯ ЛИН.,Ломоносовск.пр-т - Ломоносовск.пр-т,14.0,159.0,,,,,,,,2023,2,21,0
КАЛУЖСКО-РИЖСКАЯ,Коньково - Коньково,9.0,531.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,1,14,0
АРБАТСК-ПОКРОВСК,Молодёжная - Молодёжная,12.0,785.0,0.0,4.0,5.0,7.0,7.0,4.0,4.0,2023,1,31,0
ЛЮБЛИНСКАЯ,Шипиловская - Шипиловская,13.0,255.0,0.0,4.0,5.0,7.0,7.0,4.0,12.0,2023,4,7,1
СОКОЛЬНИЧЕСКАЯ,Тропарёво - Тропарёво,18.0,524.0,,,,,,,,2023,4,20,0
ЗАМОСКВОРЕЦКАЯ,Войковская - Войковская,14.0,1170.0,0.0,3.0,0.0,9.0,9.0,3.0,2.0,2023,3,4,0
ЗАМОСКВОРЕЦКАЯ,Сокол - Сокол,15.0,529.0,0.0,6.0,4.0,10.0,10.0,6.0,4.0,2023,1,2,1
ТАГАНСК-КРАСНОПР,Баррикадная - Баррикадная,23.0,443.0,0.0,4.0,0.0,10.0,10.0,4.0,5.0,2023,8,5,0
БКЛ,Шелепиха - Шелепиха,7.0,728.0,,,,,,,,2023,2,3,0
ТАГАНСК-КРАСНОПР,Рязанский пр-т - Рязанский пр-т,21.0,349.0,0.0,3.0,4.0,7.0,7.0,3.0,3.0,2023,1,15,0
СЕРПУХОВ-ТИМИРЯЗ,Отрадное - Отрадное,22.0,353.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,7,2,0
МЦК,Измайлово МЦК - Измайлово МЦК,19.0,529.0,,,,,,,,2023,2,11,0
ТАГАНСК-КРАСНОПР,Выхино - Выхино,22.0,350.0,0.0,0.0,0.0,15.0,15.0,4.0,4.0,2023,7,29,1
СОКОЛЬНИЧЕСКАЯ,Красные ворота - Красные ворота,20.0,961.0,0.0,4.0,0.0,6.0,6.0,6.0,1.0,2023,7,17,0
БУТОВСКАЯ ЛИНИЯ,Ул. Горчакова - Ул. Горчакова,21.0,124.0,0.0,4.0,6.0,4.0,4.0,4.0,5.0,2023,2,12,0
АРБАТСК-ПОКРОВСК,Строгино - Строгино,10.0,913.0,0.0,4.0,5.0,11.0,11.0,4.0,4.0,2023,5,23,1
ТАГАНСК-КРАСНОПР,Рязанский пр-т - Рязанский пр-т,5.0,269.0,0.0,3.0,4.0,7.0,7.0,3.0,4.0,2023,3,6,2
НЕКРАСОВСКАЯ,Нижегородская - Нижегородская,11.0,496.0,,,,,,,,2023,3,16,0
ЛЮБЛИНСКАЯ,Братиславская - Братиславская,2.0,3.0,0.0,4.0,6.0,8.0,8.0,4.0,12.0,2023,8,2,2
ЗАМОСКВОРЕЦКАЯ,Войковская - Войковская,17.0,938.0,0.0,3.0,0.0,7.0,7.0,3.0,1.0,2023,6,24,0
БКЛ,Шелепиха - Шелепиха,5.0,28.0,,,,,,,,2023,2,4,2
МЦК,Лихоборы МЦК - Лихоборы МЦК,15.0,324.0,,,,,,,,2023,4,18,0
МИНИМЕТРО,Выставочная - Выставочная,15.0,197.0,0.0,0.0,0.0,5.0,5.0,4.0,5.0,2023,6,1,0
АРБАТСК-ПОКРОВСК,Первомайская - Первомайская,22.0,158.0,0.0,3.0,5.0,5.0,5.0,3.0,1.0,2023,3,1,0
КАЛУЖСКО-РИЖСКАЯ,Коньково - Коньково,19.0,617.0,0.0,4.0,5.0,8.0,8.0,4.0,2.0,2023,3,3,0
КАЛУЖСКО-РИЖСКАЯ,Академическая - Академическая,1.0,2.0,0.0,3.0,4.0,5.0,5.0,3.0,1.0,2023,2,20,2
СЕРПУХОВ-ТИМИРЯЗ,Б-р Дм. Донского - Б-р Дм. Донского,21.0,442.0,0.0,0.0,4.0,4.0,4.0,0.0,16.0,2023,2,15,0
АРБАТСК-ПОКРОВСК,Арбатская Г/З - Арбатская Г/З,4.0,3.0,,,,,,,,2023,3,6,2
ФИЛЁВСКАЯ,Багратионовская - Багратионовская,7.0,277.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,2023,2,16,2
АРБАТСК-ПОКРОВСК,Измайловская - Измайловская,12.0,671.0,0.0,3.0,5.0,5.0,5.0,3.0,3.0,2023,4,5,0
СЕРПУХОВ-ТИМИРЯЗ,Отрадное - Отрадное,2.0,4.0,0.0,4.0,8.0,9.0,9.0,4.0,2.0,2023,6,21,2
КОЛЬЦЕВАЯ,Комсомольская КЛ - Комсомольская КЛ,20.0,927.0,0.0,4.0,0.0,41.0,41.0,19.0,9.0,2023,6,6,1
СОКОЛЬНИЧЕСКАЯ,Коммунарка - Коммунарка,11.0,785.0,,,,,,,,2023,3,31,0
АРБАТСК-ПОКРОВСК,Измайловская - Измайловская,10.0,812.0,0.0,3.0,5.0,5.0,5.0,3.0,3.0,2023,6,2,0
КАЛУЖСКО-РИЖСКАЯ,Бабушкинская - Бабушкинская,21.0,351.0,0.0,4.0,0.0,8.0,8.0,4.0,2.0,2023,4,17,0
НЕКРАСОВСКАЯ,Косино - Косино,17.0,82.0,,,,,,,,2023,1,16,0
СЕРПУХОВ-ТИМИРЯЗ,Тульская - Тульская,17.0,1080.0,0.0,4.0,5.0,8.0,8.0,4.0,2.0,2023,3,11,0
ТАГАНСК-КРАСНОПР,Полежаевская - Полежаевская,15.0,447.0,0.0,4.0,5.0,10.0,10.0,4.0,13.0,2023,6,3,1
ТАГАНСК-КРАСНОПР,Октябрьское поле - Октябрьское поле,18.0,731.0,0.0,4.0,0.0,8.0,8.0,4.0,12.0,2023,1,29,1
СОЛНЦЕВСКАЯ ЛИН.,Новопеределкино - Новопеределкино,20.0,258.0,,,,,,,,2023,2,9,0
КАЛУЖСКО-РИЖСКАЯ,Китай-город КРЛ - Китай-город КРЛ,12.0,800.0,0.0,5.0,0.0,8.0,8.0,5.0,1.0,2023,8,5,0
ЗАМОСКВОРЕЦКАЯ,Речной вокзал - Речной вокзал,1.0,5.0,2.0,4.0,4.0,9.0,9.0,4.0,1.0,2023,4,8,2
СОКОЛЬНИЧЕСКАЯ,Красносельская - Красносельская,5.0,104.0,0.0,3.0,0.0,6.0,6.0,3.0,5.0,2023,5,24,2
ЛЮБЛИНСКАЯ,Люблино - Люблино,21.0,290.0,0.0,4.0,5.0,8.0,8.0,4.0,13.0,2023,2,5,1
СЕРПУХОВ-ТИМИРЯЗ,Тульская - Тульская,11.0,556.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,7,4,0
ТАГАНСК-КРАСНОПР,Выхино - Выхино,0.0,22.0,0.0,0.0,0.0,7.0,7.0,4.0,3.0,2023,5,23,2
СЕРПУХОВ-ТИМИРЯЗ,Чертановская - Чертановская,19.0,522.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,6,26,0
СЕРПУХОВ-ТИМИРЯЗ,Южная - Южная,23.0,95.0,0.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,1,24,0
КОЛЬЦЕВАЯ,Курская КЛ - Курская КЛ,0.0,97.0,0.0,3.0,7.0,13.0,13.0,3.0,11.0,2023,6,26,1
ЗАМОСКВОРЕЦКАЯ,Водный Стадион - Водный Стадион,5.0,80.0,2.0,4.0,5.0,7.0,7.0,4.0,1.0,2023,5,26,2
ЛЮБЛИНСКАЯ,Чкаловская - Чкаловская,11.0,2.0,0.0,4.0,0.0,9.0,9.0,4.0,5.0,2023,7,16,2
ЗАМОСКВОРЕЦКАЯ,Автозаводская - Автозаводская,2.0,7.0,0.0,4.0,5.0,8.0,8.0,4.0,2.0,2023,5,17,2
БКЛ,Хорошёвская - Хорошёвская,6.0,761.0,,,,,,,,2023,5,1,0
СОКОЛЬНИЧЕСКАЯ,Комсомольск(Сок) - Комсомольск(Сок),22.0,741.0,,,,,,,,2023,3,23,0
ЗАМОСКВОРЕЦКАЯ,Домодедовская - Домодедовская,21.0,654.0,2.0,4.0,5.0,8.0,8.0,4.0,1.0,2023,8,5,0
СОКОЛЬНИЧЕСКАЯ,Преображенск. пл - Преображенск. пл,13.0,1106.0,0.0,4.0,0.0,8.0,8.0,4.0,2.0,2023,1,27,0
ЛЮБЛИНСКАЯ,Братиславская - Братиславская,21.0,412.0,0.0,4.0,6.0,8.0,8.0,4.0,12.0,2023,8,5,1
БКЛ,Терехово - Терехово,9.0,47.0,,,,,,,,2023,2,3,2
ЗАМОСКВОРЕЦКАЯ,Красногвардейск. - Красногвардейск.,0.0,12.0,0.0,4.0,5.0,10.0,10.0,4.0,1.0,2023,1,20,2
ФИЛЁВСКАЯ,Багратионовская - Багратионовская,19.0,443.0,0.0,2.0,3.0,3.0,3.0,2.0,4.0,2023,2,21,0
СОКОЛЬНИЧЕСКАЯ,Лубянка - Лубянка,8.0,132.0,0.0,4.0,0.0,7.0,7.0,4.0,1.0,2023,6,10,2
ЗАМОСКВОРЕЦКАЯ,Речной вокзал - Речной вокзал,0.0,101.0,2.0,4.0,5.0,7.0,7.0,4.0,2.0,2023,5,27,2
СОКОЛЬНИЧЕСКАЯ,Красные ворота - Красные ворота,20.0,659.0,0.0,4.0,0.0,6.0,6.0,6.0,1.0,2023,5,19,0
СОЛНЦЕВСКАЯ ЛИН.,Ломоносовск.пр-т - Ломоносовск.пр-т,2.0,1.0,,,,,,,,2023,4,27,2
КОЛЬЦЕВАЯ,Белорусская К - Белорусская К,11.0,1458.0,,,,,,,,2023,4,11,0
БКЛ,Каховская - Каховская,4.0,1.0,0.0,4.0,6.0,8.0,8.0,4.0,1.0,2023,2,27,2
КОЛЬЦЕВАЯ,Парк культуры КЛ - Парк культуры КЛ,5.0,69.0,0.0,4.0,8.0,10.0,10.0,5.0,5.0,2023,5,11,2
ЛЮБЛИНСКАЯ,Зябликово - Зябликово,15.0,284.0,0.0,4.0,5.0,8.0,8.0,4.0,12.0,2023,3,12,1
ЗАМОСКВОРЕЦКАЯ,Динамо - Динамо,12.0,438.0,0.0,4.0,0.0,12.0,12.0,6.0,1.0,2023,7,13,1
СОЛНЦЕВСКАЯ ЛИН.,Озёрная - Озёрная,19.0,254.0,,,,,,,,2023,8,9,0
ТАГАНСК-КРАСНОПР,Таганская ТКЛ - Таганская ТКЛ,21.0,738.0,0.0,3.0,0.0,4.0,4.0,3.0,5.0,2023,6,26,0
БКЛ,Воронцовская - Воронцовская,8.0,204.0,,,,,,,,2023,5,8,2
БУТОВСКАЯ ЛИНИЯ,Битцевский парк - Битцевский парк,13.0,147.0,,,,,,,,2023,2,11,2
МЦК,Измайлово МЦК - Измайлово МЦК,11.0,621.0,,,,,,,,2023,8,1,0
СОЛНЦЕВСКАЯ ЛИН.,Солнцево - Солнцево,15.0,207.0,,,,,,,,2023,8,7,0
АРБАТСК-ПОКРОВСК,Волоколамская - Волоколамская,18.0,362.0,0.0,0.0,6.0,9.0,9.0,4.0,0.0,2023,1,23,0
ТАГАНСК-КРАСНОПР,Тушинская - Тушинская,22.0,490.0,0.0,4.0,0.0,13.0,13.0,4.0,13.0,2023,8,10,1
СЕРПУХОВ-ТИМИРЯЗ,Пражская - Пражская,20.0,792.0,0.0,4.0,4.0,8.0,8.0,4.0,2.0,2023,5,3,0
ЛЮБЛИНСКАЯ,Достоевская - Достоевская,21.0,573.0,0.0,4.0,7.0,12.0,12.0,4.0,5.0,2023,3,18,1
ТАГАНСК-КРАСНОПР,Щукинская - Щукинская,0.0,141.0,0.0,4.0,5.0,7.0,7.0,4.0,13.0,2023,4,14,2
СОКОЛЬНИЧЕСКАЯ,Пр-т Вернадского - Пр-т Вернадского,13.0,768.0,,,,,,,,2023,1,18,0
АРБАТСК-ПОКРОВСК,Первомайская - Первомайская,13.0,684.0,0.0,3.0,5.0,5.0,5.0,3.0,1.0,2023,4,17,0
КАЛУЖСКО-РИЖСКАЯ,Ботанический сад - Ботанический сад,14.0,988.0,0.0,4.0,0.0,8.0,8.0,4.0,1.0,2023,3,15,0
ЛЮБЛИНСКАЯ,Борисово - Борисово,11.0,165.0,0.0,4.0,6.0,7.0,7.0,4.0,13.0,2023,8,12,1
ТАГАНСК-КРАСНОПР,Баррикадная - Баррикадная,1.0,7.0,0.0,4.0,0.0,10.0,10.0,4.0,5.0,2023,5,14,2
